Available Now	Nyní k dispozici
Outlook Synch. Entity Element	Prvek synch. entity apl. Outlook
Outlook Synch. Link	Odkaz synch. s apl. Outlook
Outlook Synch. Filter	Filtr synch. s apl. Outlook
Outlook Synch. Field	Pole synch. s apl. Outlook
Outlook Synch. User Setup	Nastavení uživatele synch. s apl. Outlook
Outlook Synch. Lookup Name	Název vyhledávání synch. s apl. Outlook
Outlook Synch. Option Correl.	Korelace možnosti synch. s apl. Outlook
Outlook Synch. Setup Detail	Podrobnosti nastavení synch. s apl. Outlook
Outlook Synch. Dependency	Závislost synch. s apl. Outlook
Exchange Folder	Složka Exchange
Item Variant	Varianta zboží
Unit of Measure Translation	Pøeklad mìrné jednotky
Item Unit of Measure	Mìrná jednotka zboží
Production Order	Výrobní zakázka
Prod. Order Line	Øádek výrobní zakázky
Prod. Order Component	Komponenta výrobní zakázky
Prod. Order Routing Line	Øádek TNG výrobní zakázky
Prod. Order Capacity Need	Potøebná kapacita výr.zak.
Prod. Order Routing Tool	Nástroj TNG postupu výr.zak.
Prod. Order Routing Personnel	Osoba TNG výrobní zakázky
Prod. Order Rtng Qlty Meas.	Míra kv.TNG výrobní zakázky
Prod. Order Comment Line	Øádek poznámky výr.zakázky
Prod. Order Rtng Comment Line	Øádek pozn.TNG výrobní zakázky
Prod. Order Comp. Cmt Line	Øádek pozn.kus.výrobní zakázky
Planning Error Log	Protokol chyb plánování
Unplanned Demand	Neplánovaná poptávka
Manufacturing User Template	Uživatelská šablona výroby
Inventory Event Buffer	Zásobník události zboží
Inventory Page Data	Údaje stránky zásob
Timeline Event	Událost èasové osy
Timeline Event Change	Zmìna události èasové osy
Fixed Asset	Dlouhodobý majetek
FA Ledger Entry	Položka DM
FA Setup	Nastavení DM
FA Posting Type Setup	Nast.typu úètování DM
FA Journal Setup	Nastavení deníku DM
FA Posting Group	Úèto skupina DM
FA Class	Tøída DM
FA Subclass	Podtøída DM
FA Location	Umístìní DM
Depreciation Book	Kniha odpisù
